cohort,arch,spec,cls,kind,group,n_seeds,n_pos_test,auprc,auprc_ceiling,auroc,gap,rel_gap,gap_ci_lo,gap_ci_hi,gap_seed_sd,q,blind,type,dx_group,low_ceiling,suff_abs0.02,suff_abs0.05,suff_abs0.1,suff_rel0.05,suff_rel0.1,sufficiency
chapman,seresnet,I,AF,single,rhythm,5,267,0.9277,0.9582,0.9886,0.0305,0.0318,-0.0095,0.0703,0.0139,0.1189,False,ok,rhythm,False,indeterminate,indeterminate,sufficient,indeterminate,sufficient,indeterminate
chapman,seresnet,I,AFL,single,rhythm,5,67,0.5141,0.8139,0.9461,0.2998,0.3684,0.1794,0.4140,0.0321,0.0024,True,B_confusion,rhythm,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,I,TWC,single,morphology,5,281,0.5252,0.7532,0.8337,0.2280,0.3027,0.1759,0.2770,0.0149,0.0024,True,B_confusion,repolarization,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,I,LAD,single,morphology,5,57,0.0975,0.6051,0.6670,0.5076,0.8389,0.3584,0.6316,0.0367,0.0024,True,B_confusion,axis,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,I,SB,single,rhythm,5,583,0.9997,0.9997,0.9998,0.0000,0.0000,-0.0002,0.0003,0.0006,0.5173,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,I,SVT,single,rhythm,5,87,0.9260,0.9522,0.9962,0.0262,0.0275,0.0006,0.0597,0.0374,0.0467,False,ok,rhythm,False,indeterminate,indeterminate,sufficient,indeterminate,sufficient,indeterminate
chapman,seresnet,I,SR,single,rhythm,5,274,0.9954,0.9964,0.9990,0.0010,0.0010,-0.0035,0.0045,0.0040,0.3776,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,I,ST,single,rhythm,5,235,0.9902,0.9908,0.9976,0.0006,0.0006,-0.0051,0.0056,0.0034,0.4903,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,I,STTC,single,morphology,5,174,0.4936,0.6093,0.8826,0.1157,0.1898,0.0572,0.1745,0.0239,0.0024,False,ok,repolarization,False,loss,loss,indeterminate,loss,indeterminate,loss
chapman,seresnet,I,LVH,single,morphology,5,196,0.2487,0.8036,0.7301,0.5549,0.6905,0.4857,0.6071,0.0252,0.0024,True,B_confusion,hypertrophy,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,I,RBBB,single,morphology,5,68,0.8761,0.9695,0.9747,0.0934,0.0964,0.0413,0.1583,0.0175,0.0024,False,ok,conduction,False,loss,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
chapman,seresnet,II,AF,single,rhythm,5,267,0.9608,0.9582,0.9940,-0.0025,-0.0026,-0.0274,0.0251,0.0173,0.6138,False,ok,rhythm,False,indeterminate,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,II,AFL,single,rhythm,5,67,0.7336,0.8139,0.9710,0.0803,0.0987,0.0005,0.1688,0.0196,0.0492,False,ok,rhythm,False,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
chapman,seresnet,II,TWC,single,morphology,5,281,0.6369,0.7532,0.8711,0.1164,0.1545,0.0687,0.1629,0.0149,0.0024,False,ok,repolarization,False,loss,loss,indeterminate,loss,indeterminate,loss
chapman,seresnet,II,LAD,single,morphology,5,57,0.5943,0.6051,0.9721,0.0108,0.0178,-0.0848,0.1153,0.0356,0.4903,False,ok,axis,False,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
chapman,seresnet,II,SB,single,rhythm,5,583,0.9999,0.9997,0.9999,-0.0001,-0.0001,-0.0004,0.0001,0.0005,0.9241,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,II,SVT,single,rhythm,5,87,0.9346,0.9522,0.9972,0.0176,0.0185,-0.0097,0.0532,0.0360,0.2044,False,ok,rhythm,False,indeterminate,indeterminate,sufficient,indeterminate,sufficient,indeterminate
chapman,seresnet,II,SR,single,rhythm,5,274,0.9975,0.9964,0.9994,-0.0012,-0.0012,-0.0053,0.0020,0.0040,0.7750,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,II,ST,single,rhythm,5,235,0.9908,0.9908,0.9973,0.0000,0.0000,-0.0050,0.0051,0.0040,0.5994,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,II,STTC,single,morphology,5,174,0.5102,0.6093,0.9051,0.0991,0.1627,0.0455,0.1489,0.0304,0.0024,False,ok,repolarization,False,loss,indeterminate,indeterminate,loss,indeterminate,indeterminate
chapman,seresnet,II,LVH,single,morphology,5,196,0.3600,0.8036,0.7609,0.4436,0.5520,0.3750,0.5075,0.0243,0.0024,True,B_confusion,hypertrophy,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,II,RBBB,single,morphology,5,68,0.8212,0.9695,0.9656,0.1483,0.1529,0.0800,0.2254,0.0209,0.0024,False,ok,conduction,False,loss,loss,indeterminate,loss,indeterminate,loss
chapman,seresnet,III,AF,single,rhythm,5,267,0.9682,0.9582,0.9934,-0.0100,-0.0104,-0.0377,0.0140,0.0144,0.7313,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,III,AFL,single,rhythm,5,67,0.7884,0.8139,0.9800,0.0255,0.0314,-0.0623,0.1102,0.0199,0.3776,False,ok,rhythm,False,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
chapman,seresnet,III,TWC,single,morphology,5,281,0.4471,0.7532,0.7741,0.3061,0.4064,0.2333,0.3688,0.0139,0.0024,True,B_confusion,repolarization,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,III,LAD,single,morphology,5,57,0.3187,0.6051,0.9196,0.2864,0.4732,0.1424,0.4027,0.0661,0.0045,True,B_confusion,axis,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,III,SB,single,rhythm,5,583,0.9996,0.9997,0.9998,0.0002,0.0002,-0.0001,0.0005,0.0005,0.2606,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,III,SVT,single,rhythm,5,87,0.9594,0.9522,0.9981,-0.0072,-0.0076,-0.0321,0.0152,0.0400,0.8084,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,III,SR,single,rhythm,5,274,0.9963,0.9964,0.9991,0.0001,0.0001,-0.0030,0.0032,0.0033,0.5797,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,III,ST,single,rhythm,5,235,0.9944,0.9908,0.9986,-0.0036,-0.0036,-0.0090,0.0005,0.0023,0.9543,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,III,STTC,single,morphology,5,174,0.3275,0.6093,0.8081,0.2818,0.4625,0.2033,0.3528,0.0279,0.0024,True,B_confusion,repolarization,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,III,LVH,single,morphology,5,196,0.2487,0.8036,0.7130,0.5549,0.6905,0.4873,0.6069,0.0299,0.0024,True,B_confusion,hypertrophy,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,III,RBBB,single,morphology,5,68,0.7580,0.9695,0.9667,0.2115,0.2181,0.1381,0.2967,0.0166,0.0024,True,B_confusion,conduction,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,aVR,AF,single,rhythm,5,267,0.9450,0.9582,0.9911,0.0133,0.0139,-0.0233,0.0502,0.0170,0.3304,False,ok,rhythm,False,indeterminate,indeterminate,sufficient,indeterminate,sufficient,indeterminate
chapman,seresnet,aVR,AFL,single,rhythm,5,67,0.6596,0.8139,0.9674,0.1543,0.1896,0.0684,0.2464,0.0255,0.0024,True,B_confusion,rhythm,False,loss,loss,indeterminate,loss,indeterminate,loss
chapman,seresnet,aVR,TWC,single,morphology,5,281,0.6296,0.7532,0.8770,0.1236,0.1641,0.0836,0.1634,0.0116,0.0024,False,ok,repolarization,False,loss,loss,indeterminate,loss,loss,loss
chapman,seresnet,aVR,LAD,single,morphology,5,57,0.3472,0.6051,0.9067,0.2579,0.4262,0.1000,0.3968,0.0419,0.0045,True,B_confusion,axis,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,aVR,SB,single,rhythm,5,583,0.9997,0.9997,0.9998,0.0000,0.0000,-0.0002,0.0003,0.0005,0.4769,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,aVR,SVT,single,rhythm,5,87,0.9446,0.9522,0.9974,0.0076,0.0080,-0.0148,0.0354,0.0463,0.3777,False,ok,rhythm,False,indeterminate,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,aVR,SR,single,rhythm,5,274,0.9979,0.9964,0.9995,-0.0015,-0.0016,-0.0051,0.0008,0.0033,0.8808,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,aVR,ST,single,rhythm,5,235,0.9919,0.9908,0.9967,-0.0011,-0.0011,-0.0063,0.0030,0.0038,0.7214,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,aVR,STTC,single,morphology,5,174,0.5670,0.6093,0.9178,0.0423,0.0694,-0.0100,0.0880,0.0209,0.1189,False,ok,repolarization,False,indeterminate,indeterminate,sufficient,indeterminate,indeterminate,indeterminate
chapman,seresnet,aVR,LVH,single,morphology,5,196,0.3421,0.8036,0.7666,0.4616,0.5743,0.3950,0.5244,0.0234,0.0024,True,B_confusion,hypertrophy,False,loss,loss,loss,loss,loss,loss
chapman,seresnet,aVR,RBBB,single,morphology,5,68,0.8467,0.9695,0.9762,0.1228,0.1267,0.0619,0.1913,0.0172,0.0024,False,ok,conduction,False,loss,loss,indeterminate,loss,indeterminate,loss
chapman,seresnet,aVL,AF,single,rhythm,5,267,0.9633,0.9582,0.9930,-0.0050,-0.0052,-0.0289,0.0186,0.0197,0.6446,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman,seresnet,aVL,AFL,single,rhythm,5,67,0.7156,0.8139,0.9718,0.0984,0.1208,0.0002,0.1978,0.0253,0.0504,False,ok,rhythm,False,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
