cohort,arch_a,arch_b,classes,n,r,kappa,ac1,agree,kappa_blind015
chapman,seresnet,inceptiontime,all,132,0.980,0.804,0.831,0.909,0.899
chapman,seresnet,inceptiontime,morphology,60,0.982,0.483,0.964,0.967,0.785
chapman,seresnet,gbm,all,132,0.901,0.818,0.847,0.917,0.762
chapman,seresnet,gbm,morphology,60,0.874,0.483,0.964,0.967,0.623
chapman,inceptiontime,gbm,all,132,0.914,0.814,0.849,0.917,0.795
chapman,inceptiontime,gbm,morphology,60,0.925,0.483,0.964,0.967,0.686
ningbo,seresnet,inceptiontime,all,108,0.949,0.885,0.893,0.944,0.895
ningbo,seresnet,inceptiontime,morphology,60,0.994,0.773,0.936,0.950,0.863
ptbxl_snomed,seresnet,inceptiontime,all,132,0.940,0.444,0.714,0.811,0.924
ptbxl_snomed,seresnet,inceptiontime,morphology,60,0.983,1.000,1.000,1.000,0.966
ptbxl_snomed,seresnet,gbm,all,132,0.725,0.580,0.744,0.841,0.709
ptbxl_snomed,seresnet,gbm,morphology,60,0.850,0.659,0.982,0.983,0.897
ptbxl_snomed,inceptiontime,gbm,all,132,0.761,0.518,0.746,0.833,0.678
ptbxl_snomed,inceptiontime,gbm,morphology,60,0.880,0.659,0.982,0.983,0.863
georgia,seresnet,inceptiontime,all,132,0.904,0.852,0.934,0.955,0.752
georgia,seresnet,inceptiontime,morphology,60,0.958,1.000,1.000,1.000,0.833
