arch,cohort_a,cohort_b,classes,n,r,kappa,ac1,agree,kappa_blind015
seresnet,chapman,ningbo,all,108,0.966,0.770,0.785,0.889,0.875
seresnet,chapman,ningbo,morphology,60,0.976,0.327,0.860,0.883,0.828
seresnet,chapman,ptbxl_snomed,all,132,0.827,0.500,0.614,0.780,0.623
seresnet,chapman,ptbxl_snomed,morphology,60,0.834,-0.023,0.947,0.950,0.553
seresnet,chapman,georgia,all,132,0.750,0.538,0.666,0.803,0.690
seresnet,chapman,georgia,morphology,60,0.789,0.000,0.966,0.967,0.597
seresnet,ningbo,ptbxl_snomed,all,108,0.879,0.549,0.642,0.796,0.723
seresnet,ningbo,ptbxl_snomed,morphology,60,0.844,0.175,0.843,0.867,0.593
seresnet,ningbo,georgia,all,108,0.806,0.553,0.637,0.796,0.743
seresnet,ningbo,georgia,morphology,60,0.808,0.000,0.826,0.850,0.699
seresnet,ptbxl_snomed,georgia,all,132,0.699,0.196,0.571,0.720,0.616
seresnet,ptbxl_snomed,georgia,morphology,60,0.837,0.000,0.983,0.983,0.699
inceptiontime,chapman,ningbo,all,108,0.975,0.788,0.804,0.898,0.857
inceptiontime,chapman,ningbo,morphology,60,0.963,0.474,0.924,0.933,0.752
inceptiontime,chapman,ptbxl_snomed,all,132,0.797,0.362,0.578,0.742,0.703
inceptiontime,chapman,ptbxl_snomed,morphology,60,0.862,-0.023,0.947,0.950,0.725
inceptiontime,chapman,georgia,all,132,0.745,0.512,0.677,0.803,0.656
inceptiontime,chapman,georgia,morphology,60,0.758,0.000,0.966,0.967,0.567
inceptiontime,ningbo,ptbxl_snomed,all,108,0.925,0.305,0.473,0.694,0.851
inceptiontime,ningbo,ptbxl_snomed,morphology,60,0.880,0.265,0.906,0.917,0.762
inceptiontime,ningbo,georgia,all,108,0.733,0.558,0.664,0.806,0.723
inceptiontime,ningbo,georgia,morphology,60,0.769,0.000,0.890,0.900,0.667
inceptiontime,ptbxl_snomed,georgia,all,132,0.694,-0.069,0.547,0.682,0.615
inceptiontime,ptbxl_snomed,georgia,morphology,60,0.837,0.000,0.983,0.983,0.700
gbm,chapman,ptbxl_snomed,all,132,0.748,0.289,0.497,0.705,0.577
gbm,chapman,ptbxl_snomed,morphology,60,0.841,0.483,0.964,0.967,0.547
