cohort,arch,dx_group,cls,n_sufficient,n_loss,n_indeterminate,sufficient_leads,ceiling,low_ceiling,n_pos_test
chapman,gbm,axis,LAD,0,10,2,,0.554,False,57
chapman,gbm,conduction,RBBB,1,8,3,V1,0.935,False,68
chapman,gbm,hypertrophy,LVH,0,11,1,,0.814,False,196
chapman,gbm,repolarization,STTC,0,10,2,,0.598,False,174
chapman,gbm,repolarization,TWC,1,10,1,V5,0.728,False,281
chapman,gbm,rhythm,AF,3,0,9,"II,III,aVF",0.943,False,267
chapman,gbm,rhythm,AFL,0,12,0,,0.591,False,67
chapman,gbm,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",1.000,False,583
chapman,gbm,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.997,False,274
chapman,gbm,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.993,False,235
chapman,gbm,rhythm,SVT,2,0,10,"II,aVL",0.953,False,87
chapman,inceptiontime,axis,LAD,0,11,1,,0.567,False,57
chapman,inceptiontime,conduction,RBBB,0,9,3,,0.972,False,68
chapman,inceptiontime,hypertrophy,LVH,0,11,1,,0.793,False,196
chapman,inceptiontime,repolarization,STTC,1,6,5,V6,0.585,False,174
chapman,inceptiontime,repolarization,TWC,1,9,2,V5,0.740,False,281
chapman,inceptiontime,rhythm,AF,2,0,10,"aVF,V1",0.943,False,267
chapman,inceptiontime,rhythm,AFL,0,6,6,,0.747,False,67
chapman,inceptiontime,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",1.000,False,583
chapman,inceptiontime,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.996,False,274
chapman,inceptiontime,rhythm,ST,11,0,1,"I,II,III,aVR,aVL,aVF,V1,V3,V4,V5,V6",0.990,False,235
chapman,inceptiontime,rhythm,SVT,7,0,5,"I,II,III,aVR,aVL,V1,V6",0.903,False,87
chapman,seresnet,axis,LAD,0,11,1,,0.605,False,57
chapman,seresnet,conduction,RBBB,1,6,5,V2,0.969,False,68
chapman,seresnet,hypertrophy,LVH,0,11,1,,0.804,False,196
chapman,seresnet,repolarization,STTC,0,7,5,,0.609,False,174
chapman,seresnet,repolarization,TWC,1,10,1,V5,0.753,False,281
chapman,seresnet,rhythm,AF,7,0,5,"II,III,aVL,aVF,V1,V2,V3",0.958,False,267
chapman,seresnet,rhythm,AFL,0,7,5,,0.814,False,67
chapman,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",1.000,False,583
chapman,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.996,False,274
chapman,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.991,False,235
chapman,seresnet,rhythm,SVT,5,0,7,"III,aVR,aVL,aVF,V1",0.952,False,87
georgia,inceptiontime,axis,LAD,0,10,2,,0.674,False,141
georgia,inceptiontime,conduction,RBBB,0,2,10,,0.773,False,83
georgia,inceptiontime,hypertrophy,LVH,0,12,0,,0.758,False,184
georgia,inceptiontime,repolarization,STTC,0,5,7,,0.417,True,282
georgia,inceptiontime,repolarization,TWC,0,12,0,,0.698,False,345
georgia,inceptiontime,rhythm,AF,2,2,8,"II,aVF",0.550,False,85
georgia,inceptiontime,rhythm,AFL,0,3,9,,0.431,True,28
georgia,inceptiontime,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.946,False,250
georgia,inceptiontime,rhythm,SR,0,7,5,,0.771,False,260
georgia,inceptiontime,rhythm,ST,10,0,2,"I,II,III,aVL,aVF,V1,V2,V4,V5,V6",0.941,False,189
georgia,inceptiontime,rhythm,SVT,0,0,12,,0.407,True,5
georgia,seresnet,axis,LAD,0,10,2,,0.720,False,141
georgia,seresnet,conduction,RBBB,0,1,11,,0.780,False,83
georgia,seresnet,hypertrophy,LVH,0,12,0,,0.761,False,184
georgia,seresnet,repolarization,STTC,0,5,7,,0.418,True,282
georgia,seresnet,repolarization,TWC,0,11,1,,0.715,False,345
georgia,seresnet,rhythm,AF,1,0,11,V4,0.757,False,85
georgia,seresnet,rhythm,AFL,0,3,9,,0.570,False,28
georgia,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.963,False,250
georgia,seresnet,rhythm,SR,0,6,6,,0.774,False,260
georgia,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.945,False,189
georgia,seresnet,rhythm,SVT,1,0,11,aVR,0.411,True,5
ningbo,inceptiontime,axis,LAD,0,10,2,,0.621,False,175
ningbo,inceptiontime,conduction,RBBB,2,4,6,"I,V1",0.974,False,193
ningbo,inceptiontime,hypertrophy,LVH,1,11,0,V5,0.888,False,710
ningbo,inceptiontime,repolarization,STTC,2,8,2,"V5,V6",0.711,False,633
ningbo,inceptiontime,repolarization,TWC,1,10,1,V5,0.700,False,774
ningbo,inceptiontime,rhythm,AF,0,0,0,,,False,0
ningbo,inceptiontime,rhythm,AFL,0,0,0,,,False,1140
ningbo,inceptiontime,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.994,False,1899
ningbo,inceptiontime,rhythm,SR,11,0,1,"I,II,III,aVR,aVF,V1,V2,V3,V4,V5,V6",0.938,False,942
ningbo,inceptiontime,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.993,False,852
ningbo,inceptiontime,rhythm,SVT,2,0,10,"aVL,V1",0.271,True,19
ningbo,seresnet,axis,LAD,1,10,1,II,0.603,False,175
ningbo,seresnet,conduction,RBBB,4,3,5,"I,V1,V2,V3",0.978,False,193
ningbo,seresnet,hypertrophy,LVH,1,11,0,V5,0.891,False,710
ningbo,seresnet,repolarization,STTC,2,8,2,"V5,V6",0.730,False,633
ningbo,seresnet,repolarization,TWC,1,10,1,V5,0.690,False,774
ningbo,seresnet,rhythm,AF,0,0,0,,,False,0
ningbo,seresnet,rhythm,AFL,0,0,0,,,False,1140
ningbo,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.995,False,1899
ningbo,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.968,False,942
ningbo,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.996,False,852
ningbo,seresnet,rhythm,SVT,0,0,12,,0.573,False,19
ptbxl_snomed,gbm,axis,LAD,0,12,0,,0.758,False,528
