cohort,arch,spec,cls,kind,group,n_seeds,n_pos_test,auprc,auprc_ceiling,auroc,gap,rel_gap,gap_ci_lo,gap_ci_hi,gap_seed_sd,q,blind,type,dx_group,low_ceiling,suff_abs0.02,suff_abs0.05,suff_abs0.1,suff_rel0.05,suff_rel0.1,sufficiency
chapman_broad,seresnet,I,AF,single,rhythm,1,267,0.9053,0.9648,0.9863,0.0594,0.0616,0.0172,0.1023,,0.0044,False,ok,rhythm,False,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate,indeterminate
chapman_broad,seresnet,I,AFL,single,rhythm,1,67,0.4864,0.8166,0.9434,0.3302,0.4043,0.2045,0.4400,,0.0023,True,B_confusion,rhythm,False,loss,loss,loss,loss,loss,loss
chapman_broad,seresnet,I,TWC,single,morphology,1,295,0.5646,0.7769,0.8320,0.2123,0.2733,0.1597,0.2673,,0.0023,True,B_confusion,repolarization,False,loss,loss,loss,loss,loss,loss
chapman_broad,seresnet,I,LAD,single,morphology,1,57,0.1383,0.6037,0.6689,0.4654,0.7708,0.3012,0.6060,,0.0023,True,B_confusion,axis,False,loss,loss,loss,loss,loss,loss
chapman_broad,seresnet,I,SB,single,rhythm,1,583,0.9995,0.9996,0.9997,0.0001,0.0001,-0.0003,0.0006,,0.3579,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman_broad,seresnet,I,SVT,single,rhythm,1,105,0.8832,0.9158,0.9874,0.0326,0.0356,-0.0040,0.0732,,0.0668,False,ok,rhythm,False,indeterminate,indeterminate,sufficient,indeterminate,sufficient,indeterminate
chapman_broad,seresnet,I,SR,single,rhythm,1,274,0.9916,0.9971,0.9986,0.0055,0.0055,-0.0009,0.0172,,0.1319,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman_broad,seresnet,I,ST,single,rhythm,1,235,0.9892,0.9907,0.9977,0.0015,0.0015,-0.0071,0.0092,,0.3806,False,ok,rhythm,False,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient
chapman_broad,seresnet,I,STTC,single,morphology,1,212,0.5024,0.6273,0.8235,0.1249,0.1991,0.0655,0.1861,,0.0023,False,ok,repolarization,False,loss,loss,indeterminate,loss,loss,loss
chapman_broad,seresnet,I,LVH,single,morphology,1,196,0.2450,0.7880,0.7161,0.5431,0.6892,0.4746,0.6030,,0.0023,True,B_confusion,hypertrophy,False,loss,loss,loss,loss,loss,loss
