cohort,arch,dx_group,cls,n_sufficient,n_loss,n_indeterminate,sufficient_leads,ceiling,low_ceiling,n_pos_test
chapman_broad,seresnet,axis,LAD,0,10,2,,0.604,False,57
chapman_broad,seresnet,conduction,RBBB,1,7,4,V1,0.964,False,68
chapman_broad,seresnet,hypertrophy,LVH,0,11,1,,0.788,False,196
chapman_broad,seresnet,repolarization,STTC,1,7,4,V6,0.627,False,212
chapman_broad,seresnet,repolarization,TWC,1,10,1,V5,0.777,False,295
chapman_broad,seresnet,rhythm,AF,5,0,7,"II,III,aVL,aVF,V1",0.965,False,267
chapman_broad,seresnet,rhythm,AFL,0,7,5,,0.817,False,67
chapman_broad,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",1.000,False,583
chapman_broad,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.997,False,274
chapman_broad,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.991,False,235
chapman_broad,seresnet,rhythm,SVT,2,0,10,"II,III",0.916,False,105
georgia_broad,seresnet,axis,LAD,0,10,2,,0.699,False,141
georgia_broad,seresnet,conduction,RBBB,0,11,1,,0.870,False,143
georgia_broad,seresnet,hypertrophy,LVH,0,12,0,,0.694,False,184
georgia_broad,seresnet,repolarization,STTC,5,2,5,"I,aVR,V4,V5,V6",0.659,False,605
georgia_broad,seresnet,repolarization,TWC,0,6,6,,0.650,False,410
georgia_broad,seresnet,rhythm,AF,10,0,2,"I,II,III,aVR,aVL,aVF,V1,V3,V4,V5",0.609,False,85
georgia_broad,seresnet,rhythm,AFL,0,0,12,,0.467,True,28
georgia_broad,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.945,False,250
georgia_broad,seresnet,rhythm,SR,0,5,7,,0.747,False,260
georgia_broad,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.943,False,189
georgia_broad,seresnet,rhythm,SVT,5,0,7,"aVR,V2,V3,V4,V6",0.179,True,11
ningbo_broad,seresnet,axis,LAD,0,11,1,,0.584,False,175
ningbo_broad,seresnet,conduction,RBBB,1,8,3,V1,0.947,False,226
ningbo_broad,seresnet,hypertrophy,LVH,1,11,0,V5,0.885,False,710
ningbo_broad,seresnet,repolarization,STTC,1,11,0,V5,0.743,False,752
ningbo_broad,seresnet,repolarization,TWC,1,9,2,V5,0.783,False,986
ningbo_broad,seresnet,rhythm,AF,0,0,0,,,False,0
ningbo_broad,seresnet,rhythm,AFL,0,0,0,,,False,1140
ningbo_broad,seresnet,rhythm,SB,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.997,False,1899
ningbo_broad,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.970,False,942
ningbo_broad,seresnet,rhythm,ST,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.992,False,852
ningbo_broad,seresnet,rhythm,SVT,0,1,11,,0.445,True,31
ptbxl_snomed_broad,seresnet,axis,LAD,0,12,0,,0.803,False,528
ptbxl_snomed_broad,seresnet,conduction,RBBB,1,10,1,V1,0.896,False,166
ptbxl_snomed_broad,seresnet,hypertrophy,LVH,0,12,0,,0.753,False,234
ptbxl_snomed_broad,seresnet,repolarization,STTC,0,6,6,,0.399,True,221
ptbxl_snomed_broad,seresnet,repolarization,TWC,0,9,3,,0.588,False,256
ptbxl_snomed_broad,seresnet,rhythm,AF,9,1,2,"I,II,aVF,V1,V2,V3,V4,V5,V6",0.893,False,152
ptbxl_snomed_broad,seresnet,rhythm,AFL,0,1,11,,0.687,False,7
ptbxl_snomed_broad,seresnet,rhythm,SB,11,0,1,"II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.420,True,64
ptbxl_snomed_broad,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.982,False,1826
ptbxl_snomed_broad,seresnet,rhythm,ST,7,0,5,"I,II,aVR,V1,V4,V5,V6",0.877,False,82
ptbxl_snomed_broad,seresnet,rhythm,SVT,0,0,12,,0.395,True,5
