cohort,arch,cls,n_pos,n,d_I_II,d_I_II_lo,d_I_II_hi,d_I_aVF,d_I_aVF_lo,d_I_aVF_hi,d_I+II_LIMB6,d_I+II_LIMB6_lo,d_I+II_LIMB6_hi,d_CH3_CH4,d_CH3_CH4_lo,d_CH3_CH4_hi,pbest_I,pbest_II,pbest_III,pbest_aVR,pbest_aVL,pbest_aVF,pbest_V1,pbest_V2,pbest_V3,pbest_V4,pbest_V5,pbest_V6,optimism_mean
chapman,seresnet,AF,267,1535,0.033207147400302846,0.00572318300154141,0.06401225175960176,0.04095921165106377,0.014062138739308198,0.07092833700900411,-0.0017818563147086683,-0.019658370917276725,0.013631256011306174,0.0122168103377333,-0.0013410927631128111,0.0314584569385922,0.0,0.01,0.003,0.0,0.002,0.057,0.922,0.006,0.0,0.0,0.0,0.0,0.00427378313323774
chapman,seresnet,AFL,67,1535,0.21555803505700585,0.1039882588251168,0.3345254767186789,0.2578010452257219,0.14534582805359497,0.374030483923687,-0.004539317735065526,-0.03363802985294809,0.020870865369774623,0.009726150849571536,-0.021063557669399983,0.03731248072978236,0.0,0.005,0.23,0.0,0.004,0.112,0.649,0.0,0.0,0.0,0.0,0.0,0.04555153448113737
chapman,seresnet,TWC,281,1535,0.11181223960260463,0.04860962471484531,0.1727175234942254,6.665455710302403e-05,-0.06744084991749946,0.07262795450179414,-0.0025903014513077084,-0.014683847503614022,0.009255485991833899,-0.020347097974159914,-0.03597029193976725,-0.004844996871560735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956,0.044,0.002202568211232652
chapman,seresnet,LAD,57,1535,0.4923928122317445,0.35180604407241217,0.6054339428410889,0.3268963341148375,0.20547735449936813,0.45574604210709985,-0.03218771530779137,-0.09348121360847343,0.024279791210466126,0.009308987222417965,-0.03762610878196136,0.05252237394950663,0.0,0.996,0.0,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.01607932354632924
chapman,seresnet,SB,583,1535,0.00014391036280511304,-1.7547452668331685e-05,0.00036863872866185196,0.00012860652075679635,-7.15816823433274e-05,0.000392232976822243,-8.027777441531858e-05,-0.00022246951464933716,3.06205797234948e-05,-8.106831451330776e-05,-0.00026680592316888905,5.7064355163455315e-05,0.0,0.144,0.0,0.002,0.0,0.076,0.074,0.013,0.035,0.007,0.0,0.649,0.00014085879225364694
chapman,seresnet,SVT,87,1535,0.009012854869930158,-0.033812882583282175,0.05117496904116751,0.016583057495244496,-0.01597527915762672,0.048743267661547865,0.0036578117534724337,-0.01250580911530266,0.023934903239804878,0.00704911019210919,-0.002514160674134877,0.020310298449278966,0.001,0.005,0.496,0.107,0.265,0.006,0.107,0.0,0.0,0.013,0.0,0.0,0.01852694897104938
chapman,seresnet,SR,274,1535,0.0021708816203514633,-0.0013625778513370128,0.005844266868806999,0.0013500278486249094,-0.0023895387130973196,0.005475047119068964,0.000566083995208677,-0.0011706159239122521,0.003155946894458108,0.0005178594055129,-0.0005867463317283216,0.0015526883678138868,0.002,0.155,0.012,0.162,0.0,0.036,0.461,0.0,0.007,0.026,0.078,0.061,0.002202386374900716
chapman,seresnet,ST,235,1535,0.00048417658525878437,-0.0055139287315156245,0.006261496454382354,0.002271261607020171,-0.002881031784252555,0.007595834721180205,-0.000986629281200888,-0.0025130974786976125,0.0002341594326812548,0.0009157326389800872,-0.0019574697564014613,0.004123459252422445,0.001,0.026,0.62,0.095,0.032,0.093,0.125,0.0,0.0,0.001,0.003,0.004,0.003646829370729523
chapman,seresnet,STTC,174,1535,0.016806881865940235,-0.058672900940080625,0.09231433144407454,-0.03611065399244826,-0.11671201719467562,0.04557916424599793,0.01429186333822508,-0.006612351153077775,0.03537813205492076,0.010443488237688595,-0.014705459521022054,0.03880365838199377,0.001,0.003,0.0,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.69,0.02408561055989141
chapman,seresnet,LVH,196,1535,0.10670041002766158,0.048184101409380384,0.1644306554402626,0.04824190302388478,-0.006558951054936976,0.10186365836257151,0.009884445884679205,-0.01210049498705475,0.03333822186561503,-0.01331656629409246,-0.037931825795616984,0.00979839981105339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0018496156681738546
