comparison,pair,n,exact,kappa_linear,ac2_linear
architectures,chapman,60,0.8833333333333333,0.729381443298969,0.9145907473309608
architectures,ningbo,60,0.9333333333333333,0.8947368421052632,0.9463187325256289
architectures,georgia,60,0.9666666666666667,0.9250936329588015,0.973529411764706
architectures,ptbxl_snomed,60,0.95,0.8985343855693348,0.9588336192109779
cohorts (seresnet),chapman-ningbo,60,0.8,0.6511627906976745,0.8436764971955855
cohorts (seresnet),chapman-georgia,60,0.7833333333333333,0.49090909090909085,0.81831290555155
cohorts (seresnet),chapman-ptbxl_snomed,60,0.7333333333333333,0.4470046082949308,0.7892811413938176
cohorts (seresnet),ningbo-georgia,60,0.7333333333333333,0.4915254237288136,0.7512953367875648
cohorts (seresnet),ningbo-ptbxl_snomed,60,0.6666666666666666,0.3972602739726028,0.6918287937743189
cohorts (seresnet),georgia-ptbxl_snomed,60,0.8,0.5804195804195804,0.8365802912804996
cohorts (inceptiontime),chapman-ningbo,60,0.7833333333333333,0.576086956521739,0.8357030015797787
cohorts (inceptiontime),chapman-georgia,60,0.7666666666666667,0.42602040816326525,0.8107587173646399
cohorts (inceptiontime),chapman-ptbxl_snomed,60,0.7666666666666667,0.5023696682464455,0.8189980247800323
cohorts (inceptiontime),ningbo-georgia,60,0.8,0.551760939167556,0.814569536423841
cohorts (inceptiontime),ningbo-ptbxl_snomed,60,0.7333333333333333,0.48328267477203646,0.76936122102883
cohorts (inceptiontime),georgia-ptbxl_snomed,60,0.8166666666666667,0.6028880866425992,0.8533604887983708
